BFLOG : ***** Blue Fang Application Logfile *****
BFLOG : ***** Log Severity = 9  Delta1 = 0
E:\Zoo\src\zt\zt.cpp(260) : NOTE  : ZTMegatileMgr::instantiate in 0 ms.
E:\Zoo\src\zt\zt.cpp(263) : NOTE  : ZTThoughtMgr::instantiate in 0 ms.
E:\Zoo\src\zt\zt.cpp(266) : NOTE  : BFWorldMgr::instantiate in 18 ms.
E:\Zoo\src\zt\ztworldmgr.cpp(38) : NOTE  : ZTItem::loadTypeMembers in 1 ms.
E:\Zoo\src\zt\ztworldmgr.cpp(41) : NOTE  : ZTFoodType::loadTypeMembers in 2 ms.
E:\Zoo\src\zt\ztworldmgr.cpp(44) : NOTE  : ZTPathType::loadTypeMembers in 0 ms.
E:\Zoo\src\zt\ztworldmgr.cpp(47) : NOTE  : ZTFenceType::loadTypeMembers in 22 ms.
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 0 = bathroom
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 1 = building
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 2 = compost
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 3 = drink
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 4 = eat
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 5 = energy
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 6 = familybathroom
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 7 = food
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 8 = fun
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 9 = gift
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 10 = trash
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 11 = animalrest
E:\Zoo\src\zt\ztbuildingtype.cpp(284) : NOTE  : need 12 = animalsex
E:\Zoo\src\zt\ztworldmgr.cpp(50) : NOTE  : ZTBuildingType::loadTypeMembers in 25 ms.
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (afrbuf y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (anteater y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (arcwolf y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (bighorn y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (bison y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (blackbr y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (blacklep y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (brhino y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (cheetah y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (chimp y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (cloulep y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (dromcaml y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (elephant y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (emppeng y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (flamingo y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (gazelle y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (gemsbok y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (giraffe y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (gorilla y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (graywolf y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (grizzly y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (hippo y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (hyena y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (ibex y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (kangaroo y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (leopard y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (lion m)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (lion y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (markhor y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (moose y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (okapi y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (panda y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (polarbr y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (snowlep y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (stiger y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (tiger y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (warthog y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (wildebst y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (wtiger y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (zebra y)
E:\Zoo\src\zt\ztworldmgr.cpp(53) : NOTE  : ZTAnimalType::loadTypeMembers in 625 ms.
E:\Zoo\src\zt\ztworldmgr.cpp(56) : NOTE  : ZTGuestType::loadTypeMembers in 14 ms.
E:\Zoo\src\zt\ztworldmgr.cpp(59) : NOTE  : ZTSceneryType::loadTypeMembers in 20 ms.
E:\Zoo\src\zt\ztworldmgr.cpp(62) : NOTE  : ZTStaffType::loadTypeMembers in 8 ms.
E:\Zoo\src\zt\zt.cpp(269) : NOTE  : BFWorldMgr loadTypes in 717 ms.
E:\Zoo\src\zt\zt.cpp(272) : NOTE  : BFScriptMgr::instantiate in 0 ms.
E:\Zoo\src\zt\zt.cpp(275) : NOTE  : UICallbackMgr::instantiate in 0 ms.
E:\Zoo\src\zt\zt.cpp(278) : NOTE  : BFUIMgr::instantiate in 0 ms.
E:\Zoo\src\zt\zt.cpp(281) : NOTE  : ZTResearchMgr::instantiate in 1 ms.
E:\Zoo\src\zt\zt.cpp(288) : NOTE  : UICallbackMgr start in 0 ms.
E:\Zoo\src\zt\zt.cpp(291) : NOTE  : UICallbackMgr start in 0 ms.
E:\Zoo\src\zt\zt.cpp(294) : NOTE  : BFUIMgr start in 2 ms.
E:\Zoo\src\zt\zt.cpp(297) : NOTE  : ZTMapView::initCursors in 1 ms.
E:\Zoo\src\UI\UIManager.cpp(357) : NOTE  : Loading UI...
E:\Zoo\src\UI\UIManager.cpp(371) : NOTE  : Loaded UI in 554 ms.
E:\Zoo\src\zt\zt.cpp(300) : NOTE  : BFUIMgr load ui/gamescrn.lyt in 555 ms.
E:\Zoo\src\zt\zt.cpp(305) : NOTE  : ZTHabitatMgr createWorldHabitat in 2 ms.
E:\Zoo\src\zt\zt.cpp(308) : NOTE  : ZTMegatileMgr init in 2 ms.
E:\Zoo\src\bf\bfscenariomgr.cpp(96) : NOTE  : BFScenarioMgr::loadScenario - Loading (scenario/scn01/scn01.scn)
E:\Zoo\src\zt\zt.cpp(311) : NOTE  : ZTUI::init in 50 ms.
E:\Zoo\src\zt\zt.cpp(314) : NOTE  : ZTUI::addCallbacks in 1 ms.
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (afrbuf y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (anteater y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (arcwolf y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (bighorn y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (bison y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (blackbr y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (blacklep y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (brhino y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (cheetah y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (chimp y)
E:\Zoo\src\zt\ztanimaltype.cpp(625) : NOTE  : Failed to load all animal characteristics for type (cloulep y)
